rank,tool_n,tool_mean,tool_std,tool_score3_rate,tool_negative_rate
1,184,-1.6739,2.2766,11.96,73.91
2,176,-1.875,2.0719,5.68,76.7
3,171,-1.7895,2.1288,7.6,74.85
4,166,-2.2048,1.8473,4.82,84.34
5,150,-1.78,2.1578,8.67,75.33
6,130,-1.6462,2.2683,10.0,73.08
7,116,-1.4828,2.3386,12.07,69.83
8,103,-1.6699,2.1935,7.77,72.82
9,92,-1.3587,2.3561,11.96,66.3
10,74,-1.3784,2.3912,13.51,67.57
11,42,-0.9762,2.5803,19.05,61.9
12,36,-1.5833,2.3589,11.11,72.22
13,29,-2.2759,1.7908,6.9,86.21
14,17,-1.8235,2.2426,11.76,76.47
15,8,-1.0,2.8284,25.0,62.5
16,1,-3.0,0.0,0.0,100.0
17,1,-3.0,0.0,0.0,100.0
18,1,-3.0,0.0,0.0,100.0
19,1,-3.0,0.0,0.0,100.0
20,1,-3.0,0.0,0.0,100.0
