rank,tool_n,tool_mean,tool_std,tool_score3_rate,tool_negative_rate
1,150,1.6067,2.3081,66.0,18.67
2,147,1.034,2.4282,46.26,24.49
3,145,0.669,2.5112,38.62,29.66
4,144,0.3958,2.5315,33.33,33.33
5,143,0.9301,2.3487,39.86,23.78
6,143,1.7273,2.0562,60.14,13.99
7,139,1.0144,2.3621,43.88,23.74
8,133,0.6617,2.5072,39.1,30.08
9,129,0.4419,2.446,30.23,31.01
10,124,0.4839,2.5294,33.87,32.26
11,119,2.0672,1.8764,72.27,10.92
12,112,2.1339,1.9101,75.89,11.61
13,88,2.1477,1.8165,73.86,10.23
14,79,1.9494,1.9994,68.35,12.66
15,67,2.1343,1.8578,73.13,10.45
16,53,2.6415,1.2104,86.79,3.77
17,44,2.6591,1.0553,86.36,2.27
18,36,2.3333,1.4928,75.0,5.56
19,25,2.64,0.7,76.0,0.0
20,23,2.3913,1.3731,73.91,4.35
21,15,2.7333,0.5936,80.0,0.0
22,12,2.75,0.6216,83.33,0.0
23,10,2.6,0.8433,80.0,0.0
24,7,2.0,2.2361,71.43,14.29
25,5,2.4,0.8944,60.0,0.0
26,4,1.0,2.8284,50.0,25.0
27,2,2.0,1.4142,50.0,0.0
28,1,3.0,0.0,100.0,0.0
